Date,open,high,low,close,volume
2004-06-23,45.84,47.27,45.82,46.1,10997496
2004-06-24,45.82,47.96,43.87,46.21,12604239
2004-06-25,46.55,46.55,44.95,45.56,7008808
2004-06-28,45.91,46.36,44.64,45.98,7126519
2004-06-29,45.83,46.25,44.67,45.24,4857203
2004-06-30,45.09,45.89,44.2,44.45,5813719
2004-07-01,44.65,45.24,44.02,45.05,9397579
2004-07-02,44.73,45.08,44.2,44.52,6252459
2004-07-05,43.65,43.72,41.84,42.79,11676889
2004-07-06,42.91,44.77,42.82,43.92,14806851
2004-07-07,44.0,45.27,43.65,44.68,9161272
2004-07-08,44.55,45.07,42.83,43.35,15798100
2004-07-09,43.45,44.71,42.73,44.43,4742000
2004-07-12,44.55,45.64,43.49,43.87,4692131
2004-07-13,43.82,44.31,42.78,43.06,2965802
2004-07-14,43.45,43.59,42.45,42.62,2994529
2004-07-15,42.92,43.54,42.55,43.35,4597680
2004-07-16,43.44,44.88,43.36,44.58,5171638
2004-07-19,45.04,46.36,44.55,46.0,5211056
2004-07-20,46.18,47.71,45.48,47.56,7221746
2004-07-21,47.82,48.53,47.03,47.76,5932161
2004-07-22,48.0,48.91,47.47,47.73,3335639
2004-07-23,48.18,48.18,46.75,47.52,7861127
2004-07-26,46.73,47.16,45.64,46.79,5503739
2004-07-27,47.64,47.64,46.64,47.04,2785875
2004-07-28,47.3,47.75,46.74,47.0,2171476
2004-07-29,46.76,48.36,46.76,48.11,4864287
2004-07-30,48.36,49.45,48.31,48.64,4870700
2004-08-02,48.55,50.36,48.55,50.16,6372717
2004-08-03,50.71,51.04,49.5,49.73,4049319
2004-08-04,49.32,49.78,48.83,49.27,1924801
2004-08-05,50.55,50.89,49.6,50.75,3591664
2004-08-06,50.75,50.83,49.11,49.55,2889649
2004-08-09,49.82,50.55,48.91,50.38,2545047
2004-08-10,50.11,50.55,49.74,50.04,1975720
2004-08-11,50.0,51.4,49.73,50.44,7946729
2004-08-12,50.03,50.73,49.29,50.36,4094353
2004-08-13,50.18,50.18,49.53,50.03,3523964
2004-08-16,50.18,50.18,49.53,50.03,3523964
2004-08-17,50.73,50.85,49.67,50.38,3082628
2004-08-18,50.02,50.23,49.47,49.57,1650285
2004-08-19,49.68,50.09,49.33,49.78,1399540
2004-08-20,49.78,49.89,48.35,48.7,1228908
2004-08-23,48.91,49.09,47.84,48.62,1362030
2004-08-24,48.57,48.82,47.69,48.18,1952350
2004-08-25,48.0,49.0,48.0,48.51,2443847
2004-08-26,48.91,50.04,48.73,49.81,5625146
2004-08-27,50.18,50.21,48.78,48.86,2542627
2004-08-30,49.44,49.64,49.11,49.42,1041611
2004-08-31,49.3,49.44,48.57,49.05,1987083
2004-09-01,49.64,49.64,48.75,49.25,2106224
2004-09-02,48.15,48.33,47.64,47.72,2392229
2004-09-03,47.95,48.36,47.35,47.81,2620402
2004-09-06,48.35,48.35,48.0,48.09,1432881
2004-09-07,48.35,48.35,47.65,47.82,1566866
2004-09-08,47.85,48.36,47.64,48.25,2452795
2004-09-09,48.36,48.78,48.18,48.59,4037543
2004-09-10,48.73,49.01,48.03,48.9,2693607
2004-09-13,48.91,49.18,48.03,48.23,2365340
2004-09-14,48.36,49.09,48.0,48.69,3537340
2004-09-15,48.73,48.89,47.92,48.15,1946933
2004-09-16,47.99,48.49,47.64,48.37,1426088
2004-09-17,48.82,50.45,48.82,50.04,12780613
2004-09-20,50.36,51.29,50.0,50.73,8710360
2004-09-21,51.27,52.73,50.64,52.54,11397682
2004-09-22,52.73,54.0,52.73,53.7,8423568
2004-09-23,53.8,53.8,52.2,52.49,3375668
2004-09-24,51.04,53.36,51.04,53.14,3605381
2004-09-27,53.24,54.13,52.98,53.69,5494191
2004-09-28,53.13,53.73,52.38,53.02,2153221
2004-09-29,53.14,53.14,51.82,52.53,2953675
2004-09-30,52.75,53.07,51.73,52.05,3239724
2004-10-01,52.55,53.45,52.27,52.6,4238469
2004-10-04,52.95,53.41,52.65,52.99,4162448
2004-10-05,53.09,54.36,53.09,54.18,7493083
2004-10-06,54.53,55.07,53.48,53.79,5751310
2004-10-07,53.45,54.07,53.13,53.57,2467145
2004-10-08,53.09,54.09,53.09,53.88,4790334
2004-10-11,53.27,53.73,51.65,52.04,2907002
2004-10-12,52.18,53.18,51.51,52.6,4580635
2004-10-14,53.0,53.22,52.02,52.6,1265015
2004-10-15,53.09,53.09,52.0,52.26,1176361
2004-10-18,53.09,53.77,52.46,53.51,4132226
2004-10-19,54.0,54.16,53.54,53.95,2905231
2004-10-20,53.27,54.0,52.59,52.76,1296074
2004-10-21,54.55,54.55,52.04,52.84,2900517
2004-10-25,52.73,53.09,51.73,51.88,1166164
2004-10-26,51.82,52.44,50.38,52.16,3791088
2004-10-27,52.53,53.0,51.64,52.75,3271756
2004-10-28,53.09,53.96,53.09,53.63,4912252
2004-10-29,53.73,54.53,53.64,54.37,4459822
2004-11-01,54.38,54.69,53.75,53.87,1848725
2004-11-02,54.09,54.55,53.82,53.95,2528767
2004-11-03,54.36,56.14,54.04,55.95,9709886
2004-11-04,55.95,56.79,55.49,56.2,6314648
2004-11-05,55.73,58.18,55.56,57.98,7937472
2004-11-08,58.36,58.36,56.92,57.52,4108961
2004-11-09,57.55,58.0,56.95,57.72,4151564
2004-11-10,57.91,58.13,56.91,57.65,1734677
2004-11-11,57.97,58.53,57.27,57.41,1738774
2004-11-12,57.64,58.09,57.11,57.27,716495
2004-11-16,57.31,58.23,57.09,58.12,3249971
2004-11-17,58.18,61.07,58.18,60.86,11008128
2004-11-18,61.09,61.27,59.37,60.13,3961203
2004-11-19,60.18,61.07,59.09,59.23,2893527
2004-11-22,58.55,59.91,57.47,58.7,5285724
2004-11-23,59.27,59.71,58.76,59.14,3192397
2004-11-24,59.64,60.36,59.05,59.38,3618487
2004-11-25,58.91,59.71,57.18,57.85,7266901
2004-11-29,57.91,61.45,57.12,61.6,8065573
2004-11-30,61.64,62.86,61.03,61.77,7688713
2004-12-01,61.84,62.33,60.73,61.77,4602338
2004-12-02,62.36,62.82,61.91,62.59,7116207
2004-12-03,62.93,65.25,61.91,64.35,12173699
2004-12-06,65.47,66.73,64.55,64.95,7433744
2004-12-07,65.73,66.65,65.27,66.35,8728158
2004-12-08,66.68,66.89,64.65,65.11,3561914
2004-12-09,65.22,66.51,63.86,66.2,4498652
2004-12-10,65.45,66.91,65.15,65.41,3423182
2004-12-13,65.46,65.96,64.96,65.55,2626832
2004-12-14,65.82,66.18,65.29,66.04,2717004
2004-12-15,66.36,67.04,65.56,66.34,4490320
2004-12-16,66.77,66.95,65.73,66.55,4215028
2004-12-17,66.73,67.0,65.02,65.45,2939848
2004-12-20,65.65,66.71,65.55,66.16,2517844
2004-12-21,66.55,66.9,65.65,66.55,2328396
2004-12-22,66.18,66.91,65.32,65.63,2928061
2004-12-23,65.64,66.55,65.22,66.25,3946579
2004-12-24,66.71,68.69,66.39,67.51,5894123
2004-12-27,67.91,68.36,67.0,68.0,4025289
2004-12-28,69.05,69.05,67.47,67.87,2841662
2004-12-29,67.84,68.72,67.11,67.42,3797479
2004-12-30,67.27,68.11,65.66,66.05,10895015
2004-12-31,66.91,67.85,66.38,67.52,3603555
2005-01-03,68.18,68.18,67.3,67.52,2267418
2005-01-04,67.55,68.55,66.93,67.98,2077156
2005-01-05,68.2,68.91,62.74,65.77,4766337
2005-01-06,65.45,65.89,63.82,64.25,3660210
2005-01-07,63.64,65.81,63.64,65.22,1519687
2005-01-10,65.45,65.8,62.96,63.44,1843186
2005-01-11,63.6,64.36,62.2,63.77,2191727
2005-01-12,63.64,64.36,61.93,62.75,2200939
2005-01-13,63.64,64.89,63.13,64.37,2235512
2005-01-14,65.25,65.25,63.21,63.85,2872099
2005-01-17,65.42,65.42,63.1,64.02,4465724
2005-01-18,64.55,64.88,63.39,63.82,2533332
2005-01-19,64.55,65.24,63.68,63.93,1929470
2005-01-20,63.82,64.18,59.13,62.95,2201599
2005-01-24,63.64,63.82,61.11,61.55,2427374
2005-01-25,61.64,63.04,60.0,62.46,3148556
2005-01-27,63.08,63.08,61.02,61.36,7532199
2005-01-28,62.55,63.47,61.64,63.28,3267224
2005-01-31,63.64,65.98,63.14,65.62,3675473
2005-02-01,66.0,66.91,65.12,65.78,2774870
2005-02-02,65.64,67.27,65.64,66.55,4093533
2005-02-03,67.17,67.51,66.09,67.21,2650223
2005-02-04,67.55,67.95,66.02,66.49,2168467
2005-02-07,66.55,67.35,65.32,65.65,2236865
2005-02-08,66.0,66.45,65.09,65.96,1965248
2005-02-09,66.36,67.09,65.84,66.63,2327148
2005-02-10,66.64,68.82,66.46,68.13,3926014
2005-02-11,68.41,69.03,67.68,68.16,3041680
2005-02-14,68.86,69.91,68.73,69.24,4967368
2005-02-15,69.45,70.36,69.25,69.66,4506171
2005-02-16,70.0,70.16,67.83,68.29,2415758
2005-02-17,67.91,69.09,66.82,68.38,2129450
2005-02-18,68.36,70.0,68.36,69.41,3925013
2005-02-21,69.45,70.0,68.05,68.45,2429673
2005-02-22,68.45,68.45,67.36,68.12,1925142
2005-02-23,68.36,68.36,66.83,67.95,4294470
2005-02-24,68.0,68.65,66.58,67.16,10142114
2005-02-25,68.0,68.73,66.74,66.85,2244840
2005-02-28,68.0,69.7,66.41,69.25,3607713
2005-03-01,69.36,69.45,67.1,67.68,2138113
2005-03-02,68.18,72.16,67.75,70.82,7119930
2005-03-03,70.83,72.71,70.74,72.18,8063906
2005-03-04,72.55,73.36,71.47,72.31,8016293
2005-03-07,72.18,73.45,71.84,72.6,5550186
2005-03-08,73.05,73.2,72.18,72.54,5600418
2005-03-09,72.0,72.27,70.43,71.0,4792187
2005-03-10,70.93,71.61,69.71,71.28,3743750
2005-03-11,71.82,72.55,70.73,71.0,1739940
2005-03-14,66.65,71.45,63.64,69.85,1528647
2005-03-15,70.11,70.29,68.41,69.56,2785633
2005-03-16,70.0,74.15,69.82,72.9,9908848
2005-03-17,72.73,73.64,72.18,72.98,4517825
2005-03-18,73.24,75.96,71.9,75.1,9175533
2005-03-21,75.45,75.72,73.88,74.26,4536888
2005-03-22,74.18,74.18,71.27,71.86,4381612
2005-03-23,70.18,72.55,70.18,70.95,4130180
2005-03-24,71.27,71.81,68.55,70.97,4650100
2005-03-28,71.6,72.73,71.6,72.34,3341040
2005-03-29,71.65,72.36,70.05,70.88,4047641
2005-03-30,70.73,70.82,68.18,69.64,4885027
2005-03-31,70.73,74.08,70.69,71.42,13530340
2005-04-01,71.45,74.08,71.45,73.83,5076427
2005-04-04,74.0,77.27,74.0,76.06,44472625
2005-04-05,76.0,78.09,74.45,77.35,16897737
2005-04-06,76.87,78.0,76.1,77.32,15469612
2005-04-07,77.36,77.36,73.64,74.31,1778121
2005-04-08,74.51,75.62,72.75,73.45,2175689
2005-04-11,73.45,73.82,71.46,71.74,1514303
2005-04-12,71.84,75.45,71.09,74.25,7440855
2005-04-13,74.91,75.61,74.41,74.91,3210613
2005-04-15,74.55,74.55,69.74,73.29,4316982
2005-04-18,71.82,71.82,70.0,70.33,2318078
2005-04-19,71.82,73.45,69.23,69.78,1919180
2005-04-20,70.0,71.44,68.03,68.78,3439121
2005-04-21,68.18,70.18,66.64,69.72,2414554
2005-04-22,70.36,72.55,69.55,72.08,3346111
2005-04-25,71.78,74.74,70.94,74.2,2967980
2005-04-26,73.64,74.0,72.73,73.58,1848219
2005-04-27,70.94,72.91,69.29,69.8,2891514
2005-04-28,70.36,70.36,66.91,68.94,8120127
2005-04-29,69.07,69.45,64.74,65.45,5968340
2005-05-02,66.91,67.99,65.01,65.52,3939973
2005-05-03,66.63,67.07,65.49,65.9,2398615
2005-05-04,66.18,67.09,66.0,66.78,1893082
2005-05-05,67.73,69.14,67.73,68.49,3786259
2005-05-06,68.55,70.18,68.18,68.67,6351157
2005-05-09,69.45,69.8,68.27,69.51,2955770
2005-05-10,69.64,72.05,69.29,71.28,5960437
2005-05-11,71.14,71.81,69.82,71.49,2481153
2005-05-12,71.16,71.78,70.57,71.22,1672065
2005-05-13,71.82,71.82,70.05,71.31,1751864
2005-05-16,71.64,72.73,71.29,72.38,1342175
2005-05-17,72.73,73.27,71.65,72.09,1357377
2005-05-18,71.81,71.81,70.73,71.03,1382308
2005-05-19,71.91,75.42,70.58,71.58,3630972
2005-05-20,70.9,72.55,70.0,72.26,1789066
2005-05-23,72.69,73.45,71.64,73.19,1278419
2005-05-24,72.73,73.09,71.69,72.6,1636920
2005-05-25,72.2,72.55,71.73,72.25,1716939
2005-05-26,74.51,74.51,71.45,72.73,3822488
2005-05-27,72.73,73.09,72.18,72.55,1556653
2005-05-30,72.72,72.72,70.24,70.85,1012186
2005-05-31,70.87,71.84,70.45,71.28,2203205
2005-06-01,71.63,72.91,71.45,72.62,1529384
2005-06-02,73.09,73.27,71.27,71.3,1130980
2005-06-03,71.36,72.0,71.09,71.45,744605
2005-06-06,72.27,73.09,71.27,71.58,1100378
2005-06-07,72.25,74.09,71.85,73.7,3635675
2005-06-08,73.86,76.55,73.86,76.29,5146552
2005-06-09,76.29,76.29,74.0,75.21,2370515
2005-06-10,75.82,76.0,73.91,74.29,2027040
2005-06-13,75.27,77.27,73.3,77.05,4993900
2005-06-14,77.64,79.27,77.27,78.9,6914885
